Layer,Beam Center X (m),Beam Center Y (m),Tracking Error (mrad),Tracking Error Elevation Only (mrad),Tracking Error Azimuth Only (mrad),Beam Center X Corr,Beam Center Y Corr,Tracking Error Corr,Tracking Error Azimuth Corr,Tracking Error Elevation Corr
0,0.792,1.332,0.9112562566208774,-0.5707889355399998,-0.7144228592026051,-0.8218436721645744,-0.3710433938061879,0.8354085033964789,-0.821845581208267,-0.3711173193597363
1,0.732,1.464,0.9235534207684813,-0.12247448684353789,-0.9204347123744703,,,,,
2,0.84,1.296,0.882547602486547,-0.6931089519220658,-0.5495452733823533,,,,,
3,0.792,1.584,0.7657431572928135,0.2853068534506162,-0.7144228592026051,,,,,
4,0.84,1.608,0.6583647953477273,0.3668787286616479,-0.5495452733823533,,,,,
5,0.984,1.584,0.2905785088052834,0.2853068534506162,-0.05477225599632087,,,,,
6,0.756,1.56,0.8580885657855959,0.20396078062583278,-0.8379737710781938,,,,,
7,0.648,1.548,1.2134302531427665,0.16309506442382354,-1.2088838562395754,,,,,
8,0.8280000000000001,1.536,0.6001585116630007,0.12247448684353789,-0.5907622281093085,,,,,
9,0.744,1.584,0.9199203729472061,0.2853068534506162,-0.8792042139364148,,,,,
10,0.888,1.62,0.559159872198856,0.40767634501716454,-0.3847076836488388,,,,,
11,0.8280000000000001,1.584,0.65324338911824,0.2853068534506162,-0.5907622281093085,,,,,
12,0.72,1.536,0.9642612516886311,0.12247448684353789,-0.9616652594245924,,,,,
13,0.732,1.668,1.0789160629253738,0.5707889355399998,-0.9204347123744703,,,,,
14,0.636,1.464,1.2493481662185024,-0.12247448684353789,-1.250120075674888,,,,,
15,0.8280000000000001,1.548,0.6097857855406208,0.16309506442382354,-0.5907622281093085,,,,,
16,0.9,1.248,0.9217414789429985,-0.8562710113308679,-0.3435112824256789,,,,,
17,0.8160000000000001,1.5,0.6285181391502145,0.0,-0.6319810228600397,,,,,
18,0.804,1.512,0.6707604469135796,0.03999999888191651,-0.6732013198800582,,,,,
19,0.732,1.5,0.9154511019497137,0.0,-0.9204347123744703,,,,,
20,0.672,1.32,1.2763200033264055,-0.6115554036528764,-1.1264990608816348,,,,,
21,0.504,1.4040000000000001,1.7253216674162217,-0.3261901299322293,-1.7034672587900437,,,,,
22,0.792,1.428,0.7513642681050671,-0.24454038595065686,-0.7144228592026051,,,,,
23,0.792,1.26,1.0814026343438938,-0.8154753440830516,-0.7144228592026051,,,,,
24,0.5760000000000001,1.536,1.4535079727519686,0.12247448684353789,-1.456228132810743,,,,,
25,0.492,1.524,1.737190823105239,0.08124038469645031,-1.7447065003102253,,,,,
26,0.5760000000000001,1.584,1.4762329108197771,0.2853068534506162,-1.456228132810743,,,,,
27,0.72,1.536,0.9642612516886311,0.12247448684353789,-0.9616652594245924,,,,,
28,0.48,1.536,1.7804792762155697,0.12247448684353789,-1.785889371655723,,,,,
29,0.552,1.356,1.606522234404223,-0.48928519783670665,-1.5386359111514731,,,,,
30,0.552,1.584,1.5567459159695307,0.2853068534506162,-1.5386359111514731,,,,,
31,0.528,1.572,1.6307858373314084,0.24454038595065686,-1.6210492205630536,,,,,
32,0.648,1.308,1.3678150887547618,-0.6523802687112968,-1.2088838562395754,,,,,
33,0.42,1.464,1.9849584674604444,-0.12247448684353789,-1.991984264997053,,,,,
34,0.516,1.512,1.653790725842616,0.03999999888191651,-1.6622877717757951,,,,,
35,0.5640000000000001,1.524,1.4915651698528687,0.08124038469645031,-1.4973978826104855,,,,,
36,0.528,1.524,1.6143659519383184,0.08124038469645031,-1.6210492205630536,,,,,
37,0.66,1.3800000000000001,1.2307863062041793,-0.40767634501716454,-1.1677329125174782,,,,,
38,0.396,1.524,2.064808934614883,0.08124038469645031,-2.0744159523198977,,,,,
39,0.516,1.32,1.762662852898462,-0.6115554036528764,-1.6622877717757951,,,,,
40,0.432,1.56,1.9509250028819765,0.20396078062583278,-1.9507437573288127,,,,,
41,0.432,1.32,2.0342278313445195,-0.6115554036528764,-1.9507437573288127,,,,,
42,0.528,1.5,1.6122899373129067,0.0,-1.6210492205630536,,,,,
43,0.504,1.272,1.8628453595595396,-0.7747257772546263,-1.7034672587900437,,,,,
44,0.42,1.188,2.246857073677801,-1.0600943850388158,-1.991984264997053,,,,,
45,0.432,1.272,2.089037922152364,-0.7747257772546263,-1.9507437573288127,,,,,
46,0.552,1.44,1.5437858697558169,-0.20396078062583278,-1.5386359111514731,,,,,
47,0.34800000000000003,1.344,2.289284027476209,-0.5300943373734947,-2.2392414106751235,,,,,
