Layer,Beam Center X (m),Beam Center Y (m),Tracking Error (mrad),Tracking Error Elevation Only (mrad),Tracking Error Azimuth Only (mrad),Beam Center X Corr,Beam Center Y Corr,Tracking Error Corr,Tracking Error Azimuth Corr,Tracking Error Elevation Corr
0,-0.30532808682814777,-0.05034702296458871,1.0568505875700094,-0.1708800750367974,-1.0486181863304929,-0.8126439875522077,-0.45741727471558,0.8158310289346153,-0.8126445203757628,-0.4575142547167517
1,-0.37568491094186246,0.06358462860584244,1.301391610387314,0.21587033205585787,-1.2902713788354057,,,,,
2,-0.25078010244718013,-0.07881197339532574,0.8974345799468083,-0.26758176387082055,-0.8612781466797496,,,,,
3,-0.37016444952700667,0.15470789289344686,1.3694240445204542,0.5255473397701673,-1.2712986343614887,,,,,
4,-0.3106369272768522,0.1779799134319606,1.2214003043685109,0.6046486675668997,-1.0668646155845942,,,,,
5,-0.09072448992674682,0.12318573186942851,0.5208268427402964,0.41856899386019236,-0.3114482313584291,,,,,
6,-0.3851835181029503,0.12455123120471943,1.3821896561438567,0.4230839191030797,-1.322875752000527,,,,,
7,-0.4418006572319712,0.1171634100131075,1.5608191052229314,0.39799497747625295,-1.5173662846330507,,,,,
8,-0.3311278833652624,0.07407246134392415,1.158802839201383,0.2517935667399633,-1.1372775120426342,,,,,
9,-0.4023043324745222,0.1366274461062016,1.4505834224442913,0.46411205966354463,-1.3816657713672345,,,,,
10,-0.2469538611895074,0.21816626899906413,1.1230428110367194,0.7410803094516294,-0.8481745357787529,,,,,
11,-0.3369267530044372,0.12349386578166055,1.2250745511118786,0.4195235422341573,-1.1571517400061277,,,,,
12,-0.4123101914590501,0.08766626816472431,1.4396047039283904,0.2979932896509466,-1.4160509648712087,,,,,
13,-0.40462734846429943,0.21431596431226715,1.5623243480265994,0.7280110050802422,-1.3896763330756634,,,,,
14,-0.468646977776826,0.03139356537166519,1.6044059177365242,0.10677078282887979,-1.6095342678370403,,,,,
15,-0.3312166856079539,0.05135166688608647,1.144804619774569,0.17435595817129382,-1.1375412693950484,,,,,
16,-0.18237397801235733,-0.1663446882219288,0.8410100707193235,-0.5651548535625702,-0.6264184008155331,,,,,
17,-0.32872784258807747,0.015307459790662154,1.1241059254393455,0.05291502631844538,-1.128981902146122,,,,,
18,-0.34632610280754145,0.02312495877813461,1.1856275500752338,0.07874007919798166,-1.1894537262325597,,,,,
19,-0.40062545285917184,0.04129313015528778,1.3756851693699366,0.1400000003550442,-1.3759361536010863,,,,,
20,-0.44756023152411656,-0.1058450640740206,1.5704620811728873,-0.3597221169789624,-1.537140353167258,,,,,
21,-0.5919680954777742,-0.06356935348039718,2.033556507837403,-0.21587033205585787,-2.033076836669183,,,,,
22,-0.3453351272568035,-0.023551887691403366,1.1823099532176147,-0.08000000055539061,-1.1860017558622025,,,,,
23,-0.34040565987413346,-0.17712759611765969,1.309160769107802,-0.6018305500096721,-1.1691022862638596,,,,,
24,-0.5056645689692436,0.05532532129784305,1.7375141838928003,0.1881488776125419,-1.736663685918624,,,,,
25,-0.5989205547585886,0.03365174534698906,2.0490444883953782,0.11401754241995014,-2.056939836672695,,,,,
26,-0.5021170640824564,0.11695196644307855,1.76065402350598,0.3972404838770451,-1.7244711470434606,,,,,
27,-0.4226316514943232,0.06666164438163277,1.4613560689956933,0.22627417050099385,-1.4514821286865216,,,,,
28,-0.6061430498130852,0.044050419031017966,2.075929908623877,0.14966629586797692,-2.08177846206818,,,,,
29,-0.5671083631578459,-0.094046043076372,1.963294346380874,-0.3193743898136212,-1.9477169196771948,,,,,
30,-0.5148523008426696,0.11656144279654208,1.8027668329141076,0.39597980017162043,-1.7682196737538152,,,,,
31,-0.5393380616303456,0.0881227698682352,1.8665248022912693,0.2993325922031856,-1.8523501237613298,,,,,
32,-0.46992331481021166,-0.12764472554852785,1.6626687108512932,-0.43358967118394415,-1.6139394552870492,,,,,
33,-0.6755974343464337,-0.024359191454852824,2.3092290682330425,-0.08246211190816084,-2.3203022250301224,,,,,
34,-0.5635571488683967,0.03704882292207162,1.929168958026801,0.12569805088319216,-1.9355105707511642,,,,,
35,-0.5100128907292248,0.05991568134153887,1.754024879022568,0.2034699000776584,-1.751628038298927,,,,,
36,-0.5515296621903257,0.048471015393932296,1.8911638941935964,0.16492422530285045,-1.8942019619912043,,,,,
37,-0.4655393829109457,-0.04518956161127131,1.5975858555105567,-0.1536229149596005,-1.5988747744922285,,,,,
38,-0.7054724170077049,0.059509518092951554,2.4182927808140757,0.20199009922235808,-2.422891428006928,,,,,
39,-0.6023217267286395,-0.1088677469282525,2.090385034276148,-0.3698648422790789,-2.0686230990359364,,,,,
40,-0.6621243048012839,0.10442585220830394,2.289430259525814,0.35468295883992734,-2.2740277545428165,,,,,
41,-0.6739338928615874,-0.10057023665630635,2.32725270269041,-0.3417601513210194,-2.3146063146645846,,,,,
42,-0.544708842132006,0.047251900218030836,1.8675935117751752,0.16062378394784976,-1.8707755131885098,,,,,
43,-0.5992712908212088,-0.1421805067930942,2.103191968962827,-0.4831148978590415,-2.0581548764392514,,,,,
44,-0.6894188063282113,-0.24094118962017774,2.493113993954283,-0.8186574603410872,-2.3677843270315977,,,,,
45,-0.6674800347619811,-0.1310173791064335,2.3230213990418425,-0.4451965894315052,-2.292422801640816,,,,,
46,-0.5396695560764665,0.011060409838840534,1.8438304361737354,0.03741657245065678,-1.8534834726879519,,,,,
47,-0.7631148192292411,-0.07003355334982624,2.6175214171346606,-0.23790754567085853,-2.620878465675794,,,,,
