pathto,BestMethod,"az, KS","el, KS","az, DT","el, DT"
C:\Users\DTSVANKI\OneDrive - NREL\BCS Comparison\CENER\data\raw_input\raw_input\CAT\04_03_2021\images\Images_2\Image 000012.tif,1,2.210743989,2.139411427,2.136074157,2.123535911
C:\Users\DTSVANKI\OneDrive - NREL\BCS Comparison\CENER\data\raw_input\raw_input\CAT\04_03_2021\images\Images_2\Image 000013.tif,1,2.375026023,2.101013518,2.304336906,2.109808442
C:\Users\DTSVANKI\OneDrive - NREL\BCS Comparison\CENER\data\raw_input\raw_input\CAT\04_03_2021\images\Images_2\Image 000015.tif,2,0.419291188,0.752248458,0.405870835,0.662039882
C:\Users\DTSVANKI\OneDrive - NREL\BCS Comparison\CENER\data\raw_input\raw_input\CAT\04_03_2021\images\Images_2\Image 000016.tif,3,0.201288756,0.748187226,0.590254147,0.3210943
C:\Users\DTSVANKI\OneDrive - NREL\BCS Comparison\CENER\data\raw_input\raw_input\CAT\04_03_2021\images\Images_2\Image 000017.tif,1,3.892220325,1.827272227,3.907856184,1.847091962
